"gcm","institution","aerosol","atmos","atmosChem","land","landIce","ocean","ocnBgchem","seaIce"
"GFDL-ESM4","NOAA-GFDL","GFDL-ESM4_aerosol_interactive","GFDL-ESM4_atmos_GFDL-AM4","GFDL-ESM4_atmosChem_GFDL-ATMCHEM4.1","GFDL-ESM4_land_GFDL-LM4.1","GFDL-ESM4_landIce_GFDL-LM4.1","GFDL-ESM4_ocean_GFDL-OM4p5","GFDL-ESM4_ocnBgchem_GFDL-COBALTv2","GFDL-ESM4_seaIce_GFDL-SIM4p5"
"GISS-E2-1-G","NASA-GISS","GISS-E2-1-G_aerosol_varies-with-physics-version","GISS-E2-1-G_atmos_GISS-E2","GISS-E2-1-G_atmosChem_Varies-with-physics-version","GISS-E2-1-G_land_GISS-LSM","none","GISS-E2-1-G_ocean_GISS-Ocean","none","GISS-E2-1-G_seaIce_GISS-SI"
"GISS-E2-1-G-CC","NASA-GISS","GISS-E2-1-G-CC_aerosol_varies-with-physics-version","GISS-E2-1-G-CC_atmos_GISS-E2","GISS-E2-1-G-CC_atmosChem_Varies-with-physics-version","GISS-E2-1-G-CC_land_GISS-LSM","GISS-E2-1-G-CC_landIce_Fixed","GISS-E2-1-G-CC_ocean_GISS-Ocean","GISS-E2-1-G-CC_ocnBgchem_NOBM","GISS-E2-1-G-CC_seaIce_GISS-SI"
"GISS-E2-1-H","NASA-GISS","GISS-E2-1-H_aerosol_varies-with-physics-version","GISS-E2-1-H_atmos_GISS-E2","GISS-E2-1-H_atmosChem_Varies-with-physics-version","GISS-E2-1-H_land_GISS-LSM","none","GISS-E2-1-H_ocean_HYCOM-Ocean","none","GISS-E2-1-H_seaIce_GISS-SI"
"GISS-E2-2-G","NASA-GISS","GISS-E2-2-G_aerosol_varies-with-physics-version","GISS-E2-2-G_atmos_GISS-E2","GISS-E2-2-G_atmosChem_Varies-with-physics-version","GISS-E2-2-G_land_GISS-LSM","GISS-E2-2-G_landIce_Fixed","GISS-E2-2-G_ocean_GISS-Ocean","none","GISS-E2-2-G_seaIce_GISS-SI"
"GISS-E2-2-H","NASA-GISS","GISS-E2-2-H_aerosol_varies-with-physics-version","GISS-E2-2-H_atmos_GISS-E2","GISS-E2-2-H_atmosChem_Varies-with-physics-version","GISS-E2-2-H_land_GISS-LSM","none","GISS-E2-2-H_ocean_HYCOM-Ocean","none","GISS-E2-2-H_seaIce_GISS-SI"
"GISS-E3-G","NASA-GISS","GISS-E3-G_aerosol_varies-with-physics-version","GISS-E3-G_atmos_GISS-E3","GISS-E3-G_atmosChem_Varies-with-physics-version","GISS-E3-G_land_GISS-LSM","none","GISS-E3-G_ocean_GISS-Ocean","none","GISS-E3-G_seaIce_GISS-SI"
"HadGEM3-GC31-HH","MOHC-/-NERC","HadGEM3-GC31-HH_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-HH_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-HH_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-HH_ocean_NEMO-HadGEM3-GO6.0_eORCA12","none","HadGEM3-GC31-HH_seaIce_CICE-HadGEM3-GSI8_eORCA12"
"HadGEM3-GC31-HM","MOHC-/-NERC","HadGEM3-GC31-HM_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-HM_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-HM_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-HM_ocean_NEMO-HadGEM3-GO6.0","none","HadGEM3-GC31-HM_seaIce_CICE-HadGEM3-GSI8_eORCA025"
"HadGEM3-GC31-LL","MOHC-/-NERC","HadGEM3-GC31-LL_aerosol_UKCA-GLOMAP-mode","HadGEM3-GC31-LL_atmos_MetUM-HadGEM3-GA7.1","none","HadGEM3-GC31-LL_land_JULES-HadGEM3-GL7.1","none","HadGEM3-GC31-LL_ocean_NEMO-HadGEM3-GO6.0","none","HadGEM3-GC31-LL_seaIce_CICE-HadGEM3-GSI8_eORCA1"
